Sibutramine	small molecule	Slc6a3
Chlorpheniramine	small molecule	SLC6A4
Chlorpheniramine	small molecule	SLC6A2
Chlorpheniramine	small molecule	SLC6A3
Chlorpheniramine	small molecule	Slc6a3
Nifedipine	small molecule	CACNA1C
Nifedipine	small molecule	CACNA1D
Nifedipine	small molecule	CACNA1S
Nifedipine	small molecule	CACNB2
Amiodarone	small molecule	CACNA1I
Amiodarone	small molecule	CACNA1I
Diazoxide	small molecule	ATP1A1
Rabeprazole	small molecule	ATP4A
Pioglitazone	small molecule	MAOB
Carvedilol	small molecule	GJA1
Carvedilol	small molecule	KCNH2
Sulfinpyrazone	small molecule	ABCC2
Sulfinpyrazone	small molecule	ABCC1
Sulfinpyrazone	small molecule	SLC22A12
Doxepin	small molecule	SLC6A2
Doxepin	small molecule	SLC6A4
Doxepin	small molecule	KCNH2
Diphenylpyraline	small molecule	SLC6A3
Diphenylpyraline	small molecule	Slc6a3
Nefazodone	small molecule	SLC6A4
Nefazodone	small molecule	SLC6A2
Nefazodone	small molecule	SLC6A3
Nefazodone	small molecule	Slc6a3
Nefazodone	small molecule	KCNH2
Desipramine	small molecule	SLC6A2
Desipramine	small molecule	SLC6A4
Bupropion	small molecule	SLC6A3
Bupropion	small molecule	Slc6a3
Bupropion	small molecule	SLC6A2
Bretylium	small molecule	ATP1A1
Chloroprocaine	small molecule	SLC6A3
Chloroprocaine	small molecule	Slc6a3
Terazosin	small molecule	KCNH2
Guanethidine	small molecule	SLC6A2
Moclobemide	small molecule	MAOB
Orphenadrine	small molecule	SLC6A2
Escitalopram	small molecule	SLC6A4
Escitalopram	small molecule	SLC6A2
Escitalopram	small molecule	SLC6A3
Escitalopram	small molecule	Slc6a3
Propafenone	small molecule	KCNH2
Ciclopirox	small molecule	ATP1A1
Dexfenfluramine	small molecule	SLC6A4
Flecainide	small molecule	SCN4A
Flecainide	small molecule	KCNH2
Flecainide	small molecule	RYR2
Clarithromycin	small molecule	KCNH2
Clarithromycin	small molecule	SLCO1B1
Clarithromycin	small molecule	SLCO1B3
Ceftriaxone	small molecule	SLC22A11
Ceftriaxone	small molecule	SLC22A6
Ceftriaxone	small molecule	SLC22A8
Ceftriaxone	small molecule	SLC15A1
