"","SYMBOL","ENTREZID"
"3233","UGT1A1","54658"
"3235","RPS6KA6","27330"
"3236","NIM1K","167359"
"3237","STK24","8428"
"3238","STK3","6788"
"3239","TEC","7006"
"3240","TEC","100124696"
"3241","STK33","65975"
"3242","STK35","140901"
"3243","STK36","27148"
"3244","STK38","11329"
"3245","STK38L","23012"
"3246","STK39","27347"
"3247","TAOK1","57551"
"3248","TAOK3","51347"
"3249","TBK1","29110"
"3250","TESK1","7016"
"3251","TIE1","7075"
"3252","TLK1","9874"
"3253","TLK2","11011"
"3254","TNIK","23043"
"3255","TNK1","8711"
"3256","TNNI3K","51086"
"3257","TSSK1B","83942"
"3258","TXK","7294"
"3259","TYRO3","7301"
"3260","ULK1","8408"
"3261","ULK2","9706"
"3262","ULK3","25989"
"3263","MAP3K19","80122"
"3264","AAK1","22848"
"3265","ANKK1","255239"
"3266","AXL","558"
"3267","BLK","640"
"3268","BMP2K","55589"
"3269","BMPR1B","658"
"3270","BMX","660"
"3271","CAMK1","8536"
"3272","CAMKK1","84254"
"3273","CAMKK2","10645"
"3274","CSN3","1448"
"3275","CDC42BPG","55561"
"3276","CDKL1","8814"
"3277","CDKL2","8999"
"3278","CIT","11113"
"3279","CLK2","1196"
"3280","CLK4","57396"
"3281","CSNK1A1","1452"
"3282","DAPK2","23604"
"3283","DCLK1","9201"
"3284","DCLK2","166614"
"3285","DCLK3","85443"
"3286","DYRK1B","9149"
"3287","EIF2AK1","27102"
"3288","EIF2AK4","440275"
"3289","EPHA1","2041"
"3290","EPHA3","2042"
"3291","EPHA4","2043"
"3292","EPHA6","285220"
"3293","EPHA8","2046"
"3294","EPHB1","2047"
"3295","EPHB6","2051"
"3296","FER","2241"
"3297","FES","2242"
"3298","GAK","2580"
"3299","GSK3A","2931"
"3300","HIPK2","28996"
"3301","HIPK3","10114"
"3303","IKBKE","9641"
"3304","INSRR","3645"
"3305","IRAK1","3654"
"3306","IRAK3","11213"
"3307","SIK3","23387"
"3308","LATS1","9113"
"3309","LIMK2","3985"
"3310","LRRK2","120892"
"3311","LTK","4058"
"3312","MAP2K3","5606"
"3313","MAP2K5","5607"
"3314","MAP2K6","5608"
"3315","MAP3K10","4294"
"3316","MAP3K11","4296"
"3317","MAP3K12","7786"
"3318","MAP3K13","9175"
"3319","MAP3K15","389840"
"3320","MAP3K3","4215"
"3321","MAP3K4","4216"
"3322","MAP3K6","9064"
"3323","MAP4K1","11184"
"3324","MAP4K2","5871"
"3325","MAP4K3","8491"
"3326","MAP4K4","9448"
"3327","MAP4K5","11183"
"3328","MAPK15","225689"
"3329","MAPK4","5596"
"3330","MAPK7","5598"
"3331","MAPKAPK5","8550"
"3332","MARK1","4139"
"3333","MARK2","2011"
"3334","MARK3","4140"
"3335","MARK4","57787"
"3336","CLASP1","23332"
"3337","MAST1","22983"
"3338","MATK","4145"
"3339","MELK","9833"
"3340","MINK1","50488"
"3341","MKNK1","8569"
"3342","MKNK2","2872"
"3343","MST1R","4486"
"3344","MYLK3","91807"
"3345","MYLK4","340156"
"3346","MYO3A","53904"
"3347","NEK1","4750"
"3348","NEK3","4752"
"3349","NEK4","6787"
"3350","NEK5","341676"
"3351","NEK9","91754"
"3352","NUAK1","9891"
"3353","NUAK2","81788"
"3354","OXSR1","9943"
"3355","PAK1","5058"
"3356","PAK2","5062"
"3357","PAK3","5063"
"3358","PAK4","10298"
"3359","PAK6","56924"
"3360","PAK5","57144"
"3361","CDK17","5128"
"3362","PI4KB","5298"
"3363","PIK3C2B","5287"
"3364","PIK3C2G","5288"
"3365","PIM3","415116"
"3366","PIP4K2B","8396"
"3367","PIP4K2C","79837"
"3368","PKMYT1","9088"
"3369","PKN1","5585"
"3370","PKN2","5586"
"3371","PLK2","10769"
"3372","PLK3","1263"
"3373","PLK4","10733"
"3374","PRKG2","5593"
"3375","PRPF4B","8899"
"3376","RIOK1","83732"
"3377","RIOK2","55781"
"3378","RIOK3","8780"
"3379","RIPK1","8737"
"3380","RIPK2","8767"
"3381","RIPK4","54101"
"3382","SBK1","388228"
"3383","SBK3","100130827"
"3384","SGK3","23678"
"3385","SIK2","23235"
"3386","SNRK","54861"
"3387","SRMS","6725"
"3388","STK10","6793"
"3389","STK16","8576"
"3390","STK17A","9263"
"3391","STK32A","202374"
"3392","IL5RA","3568"
"3396","TNFRSF9","3604"
"3397","TPH2","121278"
"3398","ACVR2A","92"
"3399","GHSR","2693"
"3401","CALCB","797"
"3402","CD79B","974"
"3403","RRBP1","6238"
"3404","NIP7","51388"
"3405","BCL2L2","599"
"3407","CCR4","1233"
"3408","GAST","2520"
"3409","CYB5B","80777"
"3410","FBXO41","150726"
"3411","HNRNPF","3185"
"3412","HSPA4","3308"
"3413","HSPH1","10808"
"3414","NUDC","10726"
"3415","PAPPA","5069"
"3416","PSMC3","5702"
"3417","S100A10","6281"
"3418","SF3A3","10946"
"3419","SMARCE1","6605"
"3420","TPD52L2","7165"
"3421","TPM3","7170"
"3422","TPM4","7171"
"3423","TXN","7295"
"3424","UCHL1","7345"
"3425","USP14","9097"
"3426","YWHAH","7533"
"3427","YWHAQ","10971"
"3428","YWHAZ","7534"
"3429","SPHK2","56848"
"3430","IFNA2","3440"
"3431","MSLN","10232"
"3432","EZH2","2146"
"3433","EZH1","2145"
"3434","TACSTD2","4070"
"3435","NECTIN4","81607"
"3436","SLC7A7","9056"
"3437","SMN2","6607"
"3439","HDAC10","83933"
"3440","NOD2","64127"
"3441","CCK","885"
"3445","SLC10A2","6555"
"3446","RPE65","6121"
"3448","NAPEPLD","222236"
"3449","FGF23","8074"
"3450","NR1D1","9572"
"3451","NR1D2","9975"
"3452","SF3B1","23451"
"3453","DAGLA","747"
"3456","HP","3240"
"3457","APOB","338"
"3458","HPX","3263"
"3459","HRG","3273"
"3460","APOBEC1","339"
"3461","SEMG2","6407"
"3462","ATR","545"
"3463","C5AR1","728"
"3464","TSLP","85480"
"3465","CD70","970"
"3466","SLC10A1","6554"
"3467","CCR9","10803"
"3468","FCGRT","2217"
"3469","ANGPT2","285"
"3470","ANGPTL3","27329"
"3471","GUCY1B1","2983"
"3472","EPAS1","2034"
"3473","SIRT2","22933"
"3475","DMD","1756"
"3476","SLC11A2","4891"
"3477","CD276","80381"
"3479","TNFRSF17","608"
"3480","INHBA","3624"
"3481","KDM1A","23028"
"3482","NRP2","8828"
"3483","SELPLG","6404"
"3484","KCNN1","3780"
"3485","KCNN2","3781"
"3486","KCNN3","3782"
"3488","CES2","8824"
"3490","SRM","6723"
"3491","DCTD","1635"
