"","SYMBOL","ENTREZID"
"414","ADH7","131"
"415","LDHAL6A","160287"
"416","ADH5","128"
"417","HSD17B10","3028"
"418","LDHA","3939"
"419","HSD17B4","3295"
"420","LDHAL6B","92483"
"421","LDHC","3948"
"422","LDHB","3945"
"423","EHHADH","1962"
"424","HSD17B3","3293"
"425","HMGCR","3156"
"427","ME1","4199"
"428","PHGDH","26227"
"430","HSD17B7","51478"
"431","HSD17B1","3292"
"432","HSD17B2","3294"
"433","RDH5","5959"
"434","H6PD","9563"
"435","HSD17B8","7923"
"436","AKR1C4","1109"
"437","IMPDH2","3615"
"438","AKR1C3","8644"
"439","HPGD","3248"
"442","AKR1C1","1645"
"443","HSD11B1","3290"
"444","HSD3B2","3284"
"445","HSD3B1","3283"
"446","IMPDH1","3614"
"447","HSD11B2","3291"
"448","AKR1C2","1646"
"449","ALDH3B2","222"
"450","ALDH1A1","216"
"451","ALDH9A1","223"
"452","ALDH1A3","220"
"453","ALDH3B1","221"
"454","GAPDH","2597"
"456","ALDH1A2","8854"
"457","ALDH3A2","224"
"458","ALDH7A1","501"
"459","PYCR2","29920"
"460","BLVRA","644"
"461","DHFR","1719"
"466","DHCR7","1717"
"467","NQO2","4835"
"470","ND3","4537"
"471","CYB5R3","1727"
"472","NDUFA11","126328"
"474","QDPR","5860"
"476","NDUFA5","4698"
"478","NDUFA7","4701"
"479","NDUFA1","4694"
"482","NDUFA6","4700"
"483","NDUFA2","4695"
"484","NDUFA8","4702"
"485","NDUFA3","4696"
"486","NDUFC2","4718"
"487","NDUFB1","4707"
"488","NDUFB10","4716"
"489","NDUFB4","4710"
"490","NDUFB3","4709"
"491","NDUFB7","4713"
"492","NDUFB9","4715"
"493","NDUFB6","4712"
"494","NDUFA12","55967"
"495","NDUFS5","4725"
"496","NDUFA13","51079"
"497","NDUFA4L2","56901"
"498","CYP4A11","1579"
"499","MSMO1","6307"
"500","HMOX1","3162"
"501","HMOX2","3163"
"502","TYR","7299"
"503","FOLR3","2352"
"504","FOLR2","2350"
"505","FOLR1","2348"
"506","ACSL4","2182"
"507","FFAR1","2864"
"508","SLC36A1","206358"
"509","SLC1A4","6509"
"511","RDH12","145226"
"512","DHRS3","9249"
"513","RDH11","51109"
"514","DHRS4","10901"
"515","RDH14","57665"
"516","RDH8","50700"
"517","LRAT","9227"
"518","RDH13","112724"
"519","APOD","347"
"520","PTGDS","5730"
"521","NR1I2","8856"
"522","PRKCB","5579"
"523","ALOX5","240"
"524","DGKA","1606"
"525","PPP2CB","5516"
"526","PPP2CA","5515"
"527","SEC14L4","284904"
"528","SEC14L3","266629"
"529","SEC14L2","23541"
"530","SLC5A6","8884"
"531","TAS1R2","80834"
"532","TAS1R3","83756"
"533","VKORC1","79001"
"534","VKORC1L1","154807"
"535","PROC","5624"
"536","NQO1","1728"
"537","BGLAP","632"
"538","ABL2","27"
"539","ABCG1","9619"
"540","ABCC2","1244"
"541","ABCA1","19"
"542","ALK","238"
"543","NAE1","8883"
"544","ARAF","369"
"545","ACVRL1","94"
"546","NT5C2","22978"
"548","ABCC9","10060"
"549","AKT1","207"
"551","APAF1","317"
"552","ACVR1B","91"
"553","ACVR1","90"
"554","ABCB11","8647"
"555","CDK15","65061"
"556","SLC25A4","291"
"557","ABCC8","6833"
"558","AFG3L2","10939"
"560","AMHR2","269"
"561","TNK2","10188"
"562","ABL1","25"
"563","ABCC6","368"
"564","ABCC4","10257"
"565","ABCC1","4363"
"566","CFTR","1080"
"567","CSNK2A1","1457"
"568","CSNK2B","1460"
"569","P2RY11","5032"
"570","PPP5C","5536"
"571","P4HA2","8974"
"572","PPIH","10465"
"573","PPIB","5479"
"574","PPIC","5480"
"575","PPIG","9360"
"578","SLC6A14","11254"
"579","SLC6A7","6534"
"580","APRT","353"
"582","ACP1","52"
"583","PECR","55825"
"584","SRPK2","6733"
"586","MTAP","4507"
"588","SLC1A5","6510"
"589","HDAC2","3066"
"590","SLC6A4","6532"
"591","KCNH2","3757"
"592","AGTR1","185"
"593","ACE","1636"
"594","BDKRB1","623"
"595","SHBG","6462"
"596","NR3C1","2908"
"597","GABBR1","2550"
"598","GABBR2","9568"
"599","SLC18A2","6571"
"600","SLC6A3","6531"
"601","CARTPT","9607"
"602","TAAR1","134864"
"603","SLC6A2","6530"
"604","MAOB","4129"
"605","CCKBR","887"
"606","CHRNA4","1137"
"607","CHRNB2","1141"
"608","CHRNA2","1135"
"609","CHRNA3","1136"
"610","CHRNA5","1138"
"611","CHRNA6","8973"
"612","CHRNA9","55584"
"613","CHRNA10","57053"
"614","CHRNB3","1142"
"615","CHRNB4","1143"
"616","CHAT","1103"
"617","CHRM3","1131"
"618","CHRM1","1128"
"619","PSMB5","5693"
"620","PSMB1","5689"
"621","MAOA","4128"
"622","NPY","4852"
"623","SCN5A","6331"
"624","OPRM1","4988"
"625","HTR2C","3358"
"627","OPRK1","4986"
"628","OPRD1","4985"
"629","SCN2A","6326"
"630","ADORA1","134"
"634","SLC29A1","2030"
"635","ESRRG","2104"
"636","ESRRA","2101"
"637","NEU1","4758"
"638","NEU2","4759"
"639","MLNR","2862"
"640","TCN1","6947"
"641","AMN","81693"
"642","CUBN","8029"
"643","ADORA2A","135"
"644","RYR1","6261"
"645","PRKDC","5591"
"646","ATM","472"
"647","ADORA2B","136"
"648","ADORA3","140"
"649","CHRM2","1129"
"650","KCNK2","3776"
"651","KCNJ12","3768"
"652","HEXB","3074"
"653","SLC18A1","6570"
"654","BIRC5","332"
"655","P2RY12","64805"
"656","RARB","5915"
"657","RARG","5916"
"658","RXRB","6257"
"659","RXRG","6258"
"660","JUN","3725"
"661","RARA","5914"
"662","ADRA1A","148"
"663","ADRA1B","147"
"664","ADRA1D","146"
"665","REN","5972"
"666","ATP4A","495"
"667","SLC12A1","6557"
"668","SLC12A2","6558"
"669","HRH1","3269"
"671","HTR1D","3352"
"672","HTR1B","3351"
"673","HTR1F","3355"
"674","HTR1A","3350"
"675","KCNJ1","3758"
"678","TOP2A","7153"
"680","KCNJ11","3767"
"681","ATP2C1","27032"
"682","ATP2A1","487"
"686","CACNA2D1","781"
"687","CA1","759"
"688","CA2","760"
"689","CA4","762"
"690","CHUK","1147"
"691","PLA2G2E","30814"
"693","LSS","4047"
"695","GABRA1","2554"
"696","GABRA2","2555"
"697","GABRA3","2556"
"698","GABRA4","2557"
"699","GABRA5","2558"
"700","GABRA6","2559"
"701","RRM1","6240"
